,Grade,Video Uploads,Subscribers,Video views
804,A ,42,2712531,1584777454
805,A ,1848,5493919,1721176088
806,A ,308,861589,278955764
807,A ,14839,2530952,1991582096
808,A ,1277,5560302,4496648188
809,A ,37993,1549299,1963421173
812,A ,6886,157365,368772
813,A ,406,3063116,545887384
814,A ,6872,1561625,522148993
815,A ,375,1880187,654389208
816,A ,35135,602177,1026324676
817,A ,229,7877716,3514115865
818,A ,21065,2207551,1637950332
819,A ,8,3875757,834201427
820,A ,78,806151,231079746
821,A ,2445,2199859,707539270
822,A ,7527,12724237,9833909601
823,A ,736,14297656,2780236787
824,A ,6144,2552535,1290908823
825,A ,269,1566972,376832605
826,A ,77,1875466,349846824
827,A ,1299,3619657,1798768953
828,A ,62,17618,36263445
829,A ,437,1076065,495023188
830,A ,62,13518268,5784320251
831,A ,3084,6441704,4579141202
832,A ,2901,1612232,1751610582
833,A ,298,6157416,816213616
834,A ,2090,5161012,3523137301
836,A ,9581,829313,732653586
837,A ,322,1648751,346134972
839,A ,183,2823460,823657381
840,A ,419,6598377,3943327427
841,A ,680,1834667,1794668663
844,A ,334,539192,216576325
845,A ,73823,1800470,732730266
846,A ,114,1574,618820260
847,A ,3174,13313522,6545367048
848,A ,6335,1821046,988566413
849,A ,192,2036412,493687065
850,A ,588,873813,193047407
851,A ,472,310799,174109939
852,A ,231,4103325,1365735959
853,A ,3950,2254849,768304161
854,A ,639,5538968,1470790728
855,A ,68,234811,54925032
856,A ,802,4511486,1924059910
857,A ,648,3590877,1634999362
858,A ,26,38672,4707955
859,A ,4114,4851606,1382014363
860,A ,168,470817,84130838
861,A ,400,14891691,2770521652
862,A ,1163,555550,223873821
863,A ,163,10498808,828548071
864,A ,1065,1860886,1329705317
865,A ,12219,1124819,773416806
866,A ,825,669759,392876501
867,A ,6875,1458389,1100467882
868,A ,500,593726,223239922
869,A ,730,4583875,1264799813
870,A ,188,2437825,650741196
871,A ,183,2342921,832724569
872,A ,15340,3733568,1595904694
873,A ,1570,1179477,738646899
875,A ,199,6661047,918456388
876,A ,773,1917132,885066341
877,A ,290,2031826,664825148
878,A ,1652,1042497,416153886
879,A ,51,9771425,617239610
881,A ,349,4040290,3093804467
882,A ,268,2465335,795740576
883,A ,219,2808915,2636833521
884,A ,5342,1699246,850788248
885,A ,12927,2595868,2427585836
886,A ,1500,1738897,883418478
887,A ,127,15688167,6641996592
889,A ,216,826637,251509161
890,A ,25,666883,279539583
891,A ,190,3426296,2338263755
892,A ,184,46747,40348022
893,A ,9,255574,293077103
894,A ,972,3954687,3344414009
896,A ,8998,337710,424175065
898,A ,12,4653573,379129938
899,A ,2926,3327405,1149283506
900,A ,44,2692196,600406974
901,A ,1970,2158957,3295692992
903,A ,4622,17763660,9668150444
904,A ,1163,10018141,2956841564
905,A ,752,2076265,947179743
906,A ,458,570187,210671101
907,A ,266,1758101,545126564
908,A ,320,1828539,987725356
909,A ,425,2426403,560491563
910,A ,1367,3667305,950082832
911,A ,1083,385039,186469729
912,A ,2558,11804909,5866949648
913,A ,69,211886,53447247
914,A ,309,878035,654203160
915,A ,35,924761,123275233
916,A ,220,336350,282580294
917,A ,4501,3240992,811771577
918,A ,112,1348026,306959964
919,A ,301,3099335,1013696048
920,A ,8,49785,34501120
921,A ,70,5510141,1557779492
922,A ,179,1530259,570694707
923,A ,424,2407006,2516674023
